Bloco;Bairro;Data;Desfile;Local da Concentraçao;Percurso;Público Estimado
Bloco da Ansiedade;Centro;03/02/2018;16:00;Boulevard Olímpico em frente ao hotpital maternidade Praça XV;-;5000
Dois Pra Lá, Dois Pra Cá;Botafogo;10/02/2018;10:00;Rua Álvaro Ramos, 11;Álvaro Ramos, R. General Goes Monteiro, Av. Lauro Sodré, Túnel Novo (lado esquerdo), Av. Princesa isabel e Av. Atlântica;1000
Blocão de Copacabana;Copacabana;04/02/2018;09:00;Posto 6 de Copacabana (Sofitel);Av Atlantica do Posto 6 ao posto 5;1000
Vai Tomar no Grajaú;Grajaú;04/02/2018;17:00;Av Engenheiro Richard 105;Av Engenheiro Richard, Praça Edmundo Rego, Av Engenheiro Richard;800
Ilha Encosta que Ele Cresce;Ilha do Governador;03/02/2018;16:00;Praça Jerusalém;Av. Alves Câmara Junior (Praia da Bica), da Praça Jerusalém até o nº 1.191 (Farol da Ilha);900
Foliões do Rio;Ilha do Governador;28/01/2018;14:00;Praça Jerusalém;Av. Alves Câmara Junior (Praia da Bica), da Praça Jerusalém até o nº 819 (Quiosque 22);3500
Boca Maldita;Copacabana;12/02/2018;17:00;Rua Paula Freitas Esquina Com Av. Atlantica;Av. Atlântica com Paula Freitas, até a Rodolfo Dantas e retorna ao local de origem.;3000
Choppinho da Paula Freitas com Boca Maldita;Copacabana;11/02/2018;17:00;Rua Paula Freitas, esquina com Avenida Atlântica;Av. Atlântica com Paula Freitas, até a Rodolfo Dantas e retorna ao local de origem.;2000
Afoxé Filhos de Gandhi;Copacabana;12/02/2018;17:00;Posto 6 de Copacabana;Av. Atlântica do Posto 6 ao Posto 4;2000
Bloco Afro Afoxé Ile Ala;Copacabana;12/02/2018;15:00;Posto 6 de Copacabana;Av. Atlântica do Posto 6 ao Posto 4;500
Pra que Juízo;Vila da Penha;27/01/2018;18:00;Largo do Bicão;Av. Braz de Pina (Altura do Mc Donalds) seguindo até a Rua Oliveira Belo;2000
Pra que Juízo;Vila da Penha;03/02/2018;18:00;Largo do Bicão;Av. Braz de Pina (Altura do Mc Donalds) seguindo até a Rua Oliveira Belo;2000
Bloco da Chaleira do Vidigal;Leblon;04/02/2018;15:00;Av. Delfim Moreira com Jardim de Alah;Av. Delfim Moreira com Jardim de Alah até o final da Avenida. (Posto 12);700
Bloco da Chaleira do Vidigal;Leblon;11/02/2018;15:00;Av. Delfim Moreira esquina com Jardim de Alah;Av. Delfim Moreira com Jardim de Alah até o final da Avenida. (Posto 12);700
Empurra que Pega do Leblon;Leblon;13/02/2018;15:00;Av. Delfim Moreira;Av. Delfim Moreira do Posto 12 até o posto 11;15000
Lagarto Mama de Campo Grande;Campo Grande;12/02/2018;15:00;Av. Glicinia com Estrada do Cabuçu;Av. Glicinia até entrada do Lameirão;2800
Rir Pra Não Chorar;Recreio dos Bandeirantes;10/02/2018;10:00;Posto 10;Av. Lúcio Costa do Posto 10 ao 9;700
Banda do Lido;Copacabana;09/02/2018;17:00;Rua Ronald de Carvalho entre a Rua Viveiros de Castro e Av. Nossa Senhora de Copacabana;Av. Nossa Senhora de Copacabana, Av. Prado Junior, Av. Atlântica, Av. Duvivier até a Rua Rolnald Carvalho;3000
Tá Pirando, Pirado, Pirou!;Urca;04/02/2018;15:00;Av. Pasteur, em frente ao Instituto Benjamim Constant, nº 404;Av. Pasteur, do Instituto Benjamim Constant até a Praca General Tibúrcio;3000
Chame Gente;São Conrado;20/01/2018;10:00;Av. Prefeito Mendes de Moraes, esquina com Rua Herbert Moses;Av. Prefeito Mendes de Moraes, da Rua Herbert Moses até o Hotel Golden Tulip;20000
Afroreggae;Centro;12/02/2018;10:00;Presidente Antonio Carlos;Av. Presidente Antonio Carlos até a Rua Araujo Porto Alegre;80000
Harmonia de Copacabana;Copacabana;10/02/2018;16:00;Avenida Atlântica esquina da Siqueira Campos;Avenida Atlantica da Siqueira Campos até a Rua República do Perú e retornando a Concentração.;4000
Empolga às 9;Copacabana;10/02/2018;11:00;Avenida Atlântica, esquina com a Av. Rainha Elizabeth;Avenida Atlântica, da Av. Rainha Elizabeth até a Rua Constate Ramos;2500
Broxadão;Copacabana;18/02/2018;16:00;Avenida Atlântica, esquina com Rua Figueiredo de Magalhães;Avenida Atlântica, da Figueiredo de Magalhães até a República do Peru, retornando ao local de concentração;700
Gladiadores de Copacabana;Copacabana;11/02/2018;16:00;Avenida Atlântica, esquina com Rua Constante Ramos;Avenida Atlântica, da Rua Constante Ramos até a Rua Hilário de Gouveia;2000
Clube do Samba;Copacabana;13/02/2018;18:00;Avenida Atlântica, em frente a Rua Santa Clara;Avenida Atlântica, da Rua Santa Clara indo em direção ao posto 6 - Constante Ramos - Barão de Ipanema - Bolivar - Xavier da Silveira - Miguel Lemos - Djalma Urich - Sá Ferreira;1000
Confraria do Peru Sadio;Leme;10/02/2018;16:00;Avenida Atlântica, 514 (em frente ao Sindicato do Chopp);Avenida Atlântica, seguindo até a esquina da Princesa Isabel e retornando pela Av. Atlantica até o Posto 01;1500
Tira a Roupa Neném;Quintino Bocaiúva;04/02/2018;19:00;Rua Cupertino;Avenida Dom Helder Camara, a partir da Rua da Pedreira a Rua Amália;4000
Perereca do Grajaú;Grajaú;11/02/2018;18:00;Praça Edmundo Rego;Avenida Engenheiro Richard, atravessa a Barão do Bom Retiro, Rua Teodoro da Silva, Rua José Vicente, Rua Meira de Vasconcelos, Rua Farias de Brito e Largo do Verdun;1000
Sou Cheio de Amor;Recreio dos Bandeirantes;10/02/2018;16:00;Av. Lucio Costa 3300 BarraMares;Avenida Lucio Costa 3300 até a Praça do Ó;600
Bater Funk;Recreio dos Bandeirantes;17/02/2018;14:00;Posto 10 do Recreio;Avenida Lucio Costa dos Postos 10 ao 09;5000
Tô no Recreio;Recreio dos Bandeirantes;18/02/2018;16:00;Avenida Lucio Costa, em frente ao Posto 10;Avenida Lucio Costa, do Posto 10 até entrada da Praia da Reserva;1000
Bloco dos Cachaças;Barra da Tijuca;13/02/2018;15:00;Av. Lucio Costa 3604;Avenida Lucio Costa, em frente ao nº 3604 - Calçadão da praia;1000
Divas do Recreio;Recreio dos Bandeirantes;12/02/2018;16:30;Avenida Lucio Costa 16,304 (Quiosque Terapia);Avenida Lucio Costa, Segue até o Posto 9 e retorna a origem;3000
Ai, Que Vergonha!;São Conrado;11/02/2018;17:00;Avenida Prefeito Mendes de Moraes, em frente ao Posto 12;Avenida Prefeito Mendes de Moraes, Avenida Aquarela do Brasil e Rua Berta Lutz 80;900
Meu Bem, Volto Já;Leme;13/02/2018;17:00;Avenida Princesa Isabel esquina com Ministro Viveiros de Castro;Avenida Princesa Isabel, Avenida Atlântica, seguindo até a Pedra do Leme;1000
Rio Maracatu;Ipanema;13/02/2018;10:00;Avenida Vieira Souto, em frente ao Posto 8;Avenida Vieira Souto, do Posto 8 até o posto 9;5000
Conjunto Habitacional Barangal;Ipanema;18/02/2018;10:30;Avenida Vieira Souto, em frente ao Posto 9;Avenida Vieira Souto, do Posto 9 a Sala Cecília Meirelles, retornando ao Posto 9;150
Escravos da Mauá;Saúde;04/02/2018;18:00;Barão de Tefé (entre Venezuela e Boulevard Olímpico);Barão de Tefé (entre Venezuela e Boulevard Olímpico), Venezuela, Sacadura Cabral e Barão de Tefé 27;10000
Banda de Vila Isabel;Vila isabel;03/02/2018;18:00;Praça 7;Barão do São Francisco, Teodoro da Silva, Gonzaga Bastos, 28 de Setembro pista de direita até Visconde de abaeté;3000
Chouriço Alegre;Oswaldo Cruz;12/02/2018;16:00;Beco Henedina;Beco do henedina, rua Henrique de Melo, beco manoel aires , Beco do henedina.;200
Piranhas da Senador Nabuco;Vila isabel;11/02/2018;18:00;Praça Barão de Drummond;Boulevard 28 de Setembro, da Praça Barão de Drummond até esquina com Rua Visconde de Abaeté, retornando pelo Boulevard 28 de Setembro, Rua Luis Barbosa, Rua Torres Homem e Praça Noel Rosa;1000
7 de Paus;Vila isabel;18/02/2018;20:00;Av. 28 de Setembro c/ Rua Visc. De Abaeté;Boulevard 28 de Setembro, da Rua Visconde de Abaeté até a Praça Barão de Drummond;1000
Afro Dan Ara;Vila isabel;10/02/2018;19:00;Boulevard 28 de Setembro, esquina com Visconde de Abaeté;Boulevard 28 de Setembro, da Rua Visconde de Abaeté até a Praça Barão de Drummond, voltando pelo Boulevard 28 de Setembro até a Visconde de Abaeté;300
Mulheres da Vila;Vila isabel;13/02/2018;17:00;Boulevard 28 de Setembro, esquina com Rua Gonzaga Bastos;Boulevard 28 de Setembro, esquina c/ Rua Gonzaga Bastos, seguindo pela 28 de setembro até a escola Vila Isabel;500
Meia Dúzia de Gatos Pingados;Bangu;09/02/2018;19:00;Avenida Cônego Vasconcelos, em frente a Estação de Bangu;Calçadão de Bangu, até Largo de Bangu (igreja);300
Cornos e Simpatizantes;Manguinhos;13/02/2018;18:00;Av. Dos Democráticos 112;Caminho dos Democráticos próximo a Suípa ate Av. dos Democráticos altura Rua José Rubino.;600
Spanta Neném;Lagoa;27/01/2018;13:00;Corte do Cantagalo;Ciclovia da Lagoa, do Corte do Cantagalo até o Clube Caiçaras;5000
O Remédio é o Samba;Copacabana;10/02/2018;19:00;Avenida Atlântica com Xavier Silveira;Concentra na esquina da Av. Atlântica com a Xavier da Silveira e segue em direção ao posto 6, retornando ao local da concentração;1000
Mocidade de Santíssimo;Santíssimo;11/02/2018;21:00;Rua Augusto Brandão;Concentração Augusto Brandão e dando início ao desfile na rua Teixeira Campos e terminando na Rua Alves Dias;1000
Afoxé Raizes Africanas;Copacabana;12/02/2018;17:00;Posto 6 de Copacabana;Concentração Colonia dos pescadores, Xavier da Silveira;150
Bloco Quilombo Cafundá Astrogilda;Vargem Grande;11/02/2018;18:00;Concentração na comunidade Quilombo Astrogilda;Concentração na comunidade Quilombo Astrogilda, núcleo Cafunda Dramice, Bar Cantinho da Serra, Bar do na Boa e finalizando pela estrada do Macuiba até o largo de Vargem Grande;200
Bloco Tapa na Peteca;Bonsucesso;04/02/2018;17:00;R. João Araújo;Concentração na Rua João Araújo S/N em frente a Associação dos moradores, segue em direção a rua principal, vira a direita na rua Teixeira Ribeiro, segue até o número 650;2000
Banda de Bangu;Bangu;10/02/2018;19:00;Av. Conego Vasconcelos 1029;Desce a Av. Conego Vasconcelos, entra na Rua Oliveira Ribeiro, desce a Rua Silva Cardoso, entra na Rua Santa Cecília, Sobe a Conego Vasconcelos e encerra no número 1029;200
Fala Bobagem;Vila da Penha;04/02/2018;16:00;Praça Paulo Setúbal;Desfile no entorno da Praça Paulo Setúbal;900
Carmelitas;Santa Teresa;09/02/2018;15:00;Esquina da ladeira de Santa Teresa com Rua Dias de Barros;Esquina da ladeira de Santa Teresa com Rua Dias de Barros, segundo até o Largo dos Guimarães;800
Alegria do São Bento;Padre Miguel;12/02/2018;18:00;Rua Sidney;Esquina da Rua Sidney Nº40, Rua Figueiredo camargo e retorna para a Rua Sidney Nº40;800
Cabrito Mamador;Ilha do Governador;11/02/2018;12:00;Rua São Sebastião;Estrada do Dendê, Rua Prof. Hilarião da Rocha, Rua Capanema, Av. Paranapuan, Estrada do Dendê e Rua São Sebastião;1500
Tribo Cacuia;Ilha do Governador;13/02/2018;18:00;Estrada do Cacuia c/ Estrada do Galeão;Estrada do Galeão até Rua Mileto Maciel retorna pelo mesmo percurso até Rua Sargento João Lopes c/ Estrada do Cacuia;10000
Banda do Pechincha;Pechincha;03/02/2018;14:00;Largo do Pechincha;Estrada do Pau Ferro, do nº 15 ao nº 240;10000
Oswaldo Cruz Maravilha;Oswaldo Cruz;10/02/2018;17:00;Estrada do Portela – Império Serrano;Estrada do Portela Império Serrano até a praça Paulo da Portela;3000
Bloco dos Palhacinhos;Brás de Pina;11/02/2018;19:30;Estrada do Quitungo, 1221;Estrada do Quitungo, do nº 1221 ate no 1970 e retorna a origem.;800
Mocidade Unida de Magalhães Bastos;Magalhães Bastos;12/02/2018;21:00;Estrada General Canrobert da Costa, esquina com Rua Carinhanha;Estrada General Canrobert da Costa sentido Vila Militar até Bonina e retorna a origem;1500
MultiBloco;Lapa;10/02/2018;09:00;Rua do Senado;Gomes Freire Rua do Resende;1250
Não deixe o Rock morrer;Botafogo;12/02/2018;16:00;Rua Alvaro Ramos;Inicio na Rua Alvaro Ramos, Assis Bueno, Arnaldo Quintela, Rua da Passagem, Rua Alvaro Ramos.;1500
Bloco Carnavalesco Sempre Vila;Vila isabel;20/01/2018;16:00;Rua Sousa Franco;Início na Rua Sousa Franco com a esquina Torres Homem, Término na Rua Sousa Franco com 28 de Setembro;1000
Birita mas num cai;Madureira;11/02/2018;17:00;Bar do Julio Fragoso;Início: Julio Fragoso, Clara Nunes, Estrada do Portela – Retorno: Praça Paulo Portela, Estrada do Portela, Clara Nunes, Julio Fragoso.;600
Birita mas num cai;Madureira;13/02/2018;17:00;Bar do Julio Fragoso;Início: Julio Fragoso, Clara Nunes, Estrada do Portela – Retorno: Praça Paulo Portela, Estrada do Portela, Clara Nunes, Julio Fragoso.;600
Bloco Chega Mais;Piedade;11/02/2018;16:00;Rua Padre Manoel da Nóbrega;Início: Padre Manoel de Nobrega Nº114, Av Dom Helder Câmara por 600 metros, retorna no sentido Cascadura;3500
Bloco Chega Mais;Piedade;12/02/2018;16:00;Rua Padre Manoel da Nóbrega;Início: Padre Manoel de Nobrega Nº114, Av Dom Helder Câmara por 600 metros, retorna no sentido Cascadura;3500
Alegria de Palmares;Jardim Palmares;11/02/2018;16:00;Bar do Jacó;Início: Rua Soldado Elias de Souza, Rua Felisbino dos Santos, Rua Soldado Julio de Vasconcelos, Caio Basílio Junior e volta para a Rua Elias de Souza;500
Vestiu uma Camisinha Listrada e Saiu por Aí;Centro;09/02/2018;16:00;Largo da Carioca;Largo da Carioca, 13 de Maio e Cinelandia;2000
Os 300;Padre Miguel;12/02/2018;17:00;Largo da Tapiranga;Largo da Tapiranga, Rua Maria Rosa, Rua Japeju, Rua Tapiranga e Largo da Tapiranga;1000
Os 300;Padre Miguel;17/02/2018;17:00;Largo da Tapiranga;Largo da Tapiranga, Rua Maria Rosa, Rua Japeju, Rua Tapiranga e Largo da Tapiranga;1000
Aconteceu;Santa Teresa;10/02/2018;18:00;Rua Aurea;Largo das Neves, Rua Progresso, Rua Oriente, Rua Aurea;1000
Dinossauros Nacionais;Centro;12/02/2018;13:00;Largo de São Francisco de Paula;Largo de São Francisco - Parado;5000
Batuque das Meninas;Laranjeiras;14/02/2018;16:00;Praça Largo do Machado;Largo do Machado - Parado;200
Largo do Machadinho, Mas Não Largo do Suquinho;Catete;12/02/2018;09:00;Largo do Machado;Largo do Machado - Parado;2000
Largo do Machado, Mas Não Largo do Copo;Catete;13/02/2018;16:00;Largo do Machado;Largo do Machado, Rua do Catete, Arthur Bernardes, Bento Lisboa, Ministro Tavares de Lira, Conde de Baependi, Rua do Catete e Largo do Machado;2000
Aconteceu;Santa Teresa;12/02/2018;18:00;Rua Aurea;Largo dos Guimarães, Rua Paschoal , Rua Carlos Magno, Rua Monte Alegre, Rua Aurea;1000
Cheiro na Testa;Santa Teresa;13/02/2018;13:00;Largo dos Guimarães;Largo dos Guimarães, Rua Paschoal Carlos Magno, Rua Monte Alegre até a esquina com a Rua Áurea;1000
Só Caminha;Botafogo;21/01/2018;14:00;Largo dos Leões;Largo dos Leões, Rua Marques, Rua Capistrano de Abreu, Rua Conde de Irajá e Largo dos Leões;2000
Se Cair Eu Como;Ilha do Governador;28/01/2018;11:00;Praça da Freguesia;Orla da Praia da Guanabara até a Praça do Bananal (Pedra da Onça);3000
União dos Blocos da Ilha do Governador;Ilha do Governador;18/02/2018;10:00;Praça Iaiá Garcia;Parado;2000
A Nega Indoidou;Centro;11/02/2018;16:00;Rua Alvaro Alvim;Parado;1000
Aconteceu;Santa Teresa;03/02/2018;18:00;Rua Aurea;Parado;1000
Aí Sim;Tijuca;18/02/2018;14:00;Praça Xavier de Brito;Parado;800
Alegria Sem Ressaca;Copacabana;28/01/2018;09:00;Av. Atlântica, esquina com República do Perú;Parado;500
Amigos da Esquina;Engenho de Dentro;27/01/2018;15:00;Rua 2 de Fevereiro 192;Parado;1000
Amigos da Esquina de Madureira - Fla Esquina;Madureira;10/02/2018;19:00;Praça de Magno;Parado;500
Amigos da Esquina de Madureira - Fla Esquina;Madureira;11/02/2018;19:00;Praça de Magno;Parado;500
Amigos da Esquina de Madureira - Fla Esquina;Madureira;12/02/2018;19:00;Praça de Magno;Parado;500
Amigos da Esquina de Madureira - Fla Esquina;Madureira;13/02/2018;19:00;Praça de Magno;Parado;500
Amigos da Sueca da Pedro Américo;Catete;03/02/2018;18:00;Rua Pedro Américo, nº 371;Parado;1000
Amigos da Velha Guarda;Recreio dos Bandeirantes;14/02/2018;14:00;Av. Lucio Costa 16,340 (Quiosque Terapia);Parado;1000
Amigos do Wilson Alicate;Praça da Bandeira;10/02/2018;17:00;Rua São Valetim, esquina com Rua Joaquim Palhares;Parado;400
Areia;Leblon;27/01/2018;11:00;Rua Dias Ferreira, entre a Avenida Bartolomeu Mitre e a Rua General Urquiza;Parado;3500
Associação Carnavalesca Infiéis;Centro;12/02/2018;17:00;Largo Alexandre Herculano - em frente ao Real Gabinete Português de Leitura;Parado;1000
Associação Cultural e Bloco Cidade Nova;Cidade Nova;10/02/2018;11:00;Rua Julio do Carmo 251;Parado;250
Badalo de Santa Teresa;Santa Teresa;02/02/2018;16:00;Largo das Neves;Parado;1000
Bafafá;Ipanema;17/02/2018;09:00;Praia de Ipanema, Posto 9;Parado;20000
Bailinho do Capitão Trombeta;Ilha do Governador;04/02/2018;09:00;Praça Iaiá Garcia;Parado;100
Bambas do Curuzu;São Cristóvão;13/02/2018;18:00;Rua Curuzu, nº 87;Parado;1500
Banda Clube Nobre do Bairro Peixoto;Copacabana;12/02/2018;11:00;Av. Atlântica, esquina com Rua Siqueira Campos;Parado;700
Banda da Amizade;Lapa;12/02/2018;17:00;Rua Tadeu Kosciusco;Parado;1000
Banda da Glória;Glória;11/02/2018;16:00;Rua da Glória 180;Parado;500
Banda da Nega;Recreio dos Bandeirantes;13/02/2018;14:00;Av. Lucio Costa 16,200;Parado;1000
Banda da Penha;Penha;03/02/2018;20:00;Largo da Rua Couto;Parado;1000
Banda da Penha;Penha;10/02/2018;20:00;Largo da Rua Couto;Parado;1000
Banda da Penha;Penha;11/02/2018;20:00;Largo da Rua Couto;Parado;1000
Banda da Penha;Penha;12/02/2018;20:00;Largo da Rua Couto;Parado;1000
Banda da Penha;Penha;13/02/2018;20:00;Largo da Rua Couto;Parado;1000
Banda da Penha;Penha;17/02/2018;20:00;Largo da Rua Couto;Parado;1000
Banda da Praia da Bica;Ilha do Governador;04/02/2018;14:00;Quiosque Piratas Praia da Bica;Parado;3000
Banda da Saens Pena;Tijuca;28/01/2018;15:00;Praça Saens Pena, 65;Parado;200
Banda da Zulmira;Maracanã;14/01/2018;14:00;Praça Niterói - Rua Dona Zulmira e Rua Felipe Camarão;Parado;400
Banda das Quengas;Lapa;13/02/2018;18:00;No meio da Rua Washington Luiz;Parado;15000
Banda do Jiló;Tijuca;21/01/2018;14:00;Rua Pinto de Figueiredo, nº 26;Parado;1000
Banda do Largo da 2ª Feira;Tijuca;10/02/2018;18:00;Rua Conde de Bonfim, 25;Parado;6000
Banda do Village;Ilha do Governador;14/02/2018;16:00;Rua Luiz Sá, altura do número 205;Parado;1500
Banda Haddock;Tijuca;13/02/2018;18:00;Rua Afonso Pena, nº 10;Parado;2200
Bangalafumenga;Aterro do Flamengo;11/02/2018;10:00;Próximo ao Monumento dos Pracinhas;Parado;60000
Batalha dos Blocos;Recreio dos Bandeirantes;11/02/2018;16:00;Praia do Recreio Posto 10;Parado;4000
Batalha dos Blocos;Recreio dos Bandeirantes;12/02/2018;10:00;Praia do Recreio Posto 10;Parado;4000
Batalha dos Blocos;Recreio dos Bandeirantes;13/02/2018;16:00;Praia do Recreio Posto 10;Parado;4000
Batalha dos Blocos;Recreio dos Bandeirantes;14/02/2018;10:00;Praia do Recreio Posto 10;Parado;4000
Batuke Nuclear;Centro;01/02/2018;18:00;Rua da Candelária, 65, esquina com Teófilo Otoni;Parado;500
Batuke Nuclear;Centro;08/02/2018;18:00;Rua da Candelária, 65, esquina com Teófilo Otoni;Parado;500
Batuquebato;Centro;03/02/2018;10:00;Praça XV;Parado;800
Berço do Samba;Lapa;17/02/2018;20:00;Praça Cardeal Câmara (Arcos da Lapa);Parado;5000
Bigodinho Esticado;Méier;28/01/2018;17:00;Rua Adriano 300;Parado;400
Blocão da Barra;Barra da Tijuca;10/02/2018;11:00;Praça do Ó;Parado;700
Blocão da Tijuca;Tijuca;03/02/2018;10:00;Praça Saens Pena;Parado;500
Bloco Boemios do Catruz;Pedra de Guaratiba;10/02/2018;21:00;Praça Dr. Raul Capello Barrozo;Parado;1500
Bloco Boemios do Catruz;Pedra de Guaratiba;11/02/2018;21:00;Praça Dr. Raul Capello Barrozo;Parado;1500
Bloco Boemios do Catruz;Pedra de Guaratiba;12/02/2018;21:00;Praça Dr. Raul Capello Barrozo;Parado;1500
Bloco Boemios do Catruz;Pedra de Guaratiba;13/02/2018;21:00;Praça Dr. Raul Capello Barrozo;Parado;1500
Bloco Confetes e Serpentinas;Pedra de Guaratiba;10/02/2018;20:00;Praça Dr. Raul Capello Barrozo;Parado;1500
Bloco Confetes e Serpentinas;Pedra de Guaratiba;11/02/2018;20:00;Praça Dr. Raul Capello Barrozo;Parado;1500
Bloco Confetes e Serpentinas;Pedra de Guaratiba;12/02/2018;20:00;Praça Dr. Raul Capello Barrozo;Parado;1500
Bloco Confetes e Serpentinas;Pedra de Guaratiba;13/02/2018;20:00;Praça Dr. Raul Capello Barrozo;Parado;1500
Bloco Confetes e Serpentinas;Pedra de Guaratiba;16/02/2018;20:00;Praça Dr. Raul Capello Barrozo;Parado;1500
Bloco da Apuração dos Embaixadores da Folia;Lapa;14/02/2018;17:00;Av. Gomes Freire, em frente ao nº 533;Parado;500
Bloco da Mamadeira;Botafogo;03/02/2018;16:00;Praça Parque General Leandro;Parado;200
Bloco da Pracinha;Jardim Botânico;03/02/2018;12:00;Praca Pio XI;Parado;500
Bloco da Saara;Centro;03/02/2018;15:00;Praça do Mascate;Parado;300
Bloco do Brow;Ilha do Governador;16/02/2018;18:00;Praça Iaiá Garcia;Parado;1500
Bloco do Cocoloko;Barra da Tijuca;27/01/2018;10:00;Lúcio Costa (Em frente ao Ocean Front 2.930);Parado;15000
Bloco do Cocoloko;Barra da Tijuca;03/02/2018;15:00;Lúcio Costa (Em frente ao Ocean Front 2.930);Parado;15000
Bloco do Demorô;Cidade Nova;28/01/2018;14:00;Praça Coronel Castelo Branco;Parado;300
Bloco do Limão;Jardim América;13/01/2018;18:00;Praça Rivadávia C Maia;Parado;800
Bloco do Limão;Jardim América;20/01/2018;18:00;Praça Rivadávia C Maia;Parado;800
Bloco do Limão;Jardim América;27/01/2018;18:00;Praça Rivadávia C Maia;Parado;800
Bloco do Limão;Jardim América;03/02/2018;18:00;Praça Rivadávia C Maia;Parado;800
Bloco do Rock;Centro;03/02/2018;18:00;Largo de São Francisco;Parado;2000
Bloco do Rock;Ilha do Governador;09/02/2018;19:00;Praça Iaiá Garcia;Parado;1000
Bloco do UHH!;Copacabana;13/02/2018;15:00;Praça Serzedelo Correa;Parado;250
Bloco Estratégia;Centro;12/02/2018;17:00;Largo de São Francisco de Paula;Parado;5000
Bloco EVA;Barra da Tijuca;17/02/2018;12:00;Arena Blocos;Parado;10000
Bloco Favela;Méier;04/02/2018;15:00;Praça Agripino Grieco;Parado;500
Bloco Guri da Barra;Barra da Tijuca;10/02/2018;17:00;Praça do Pomar;Parado;300
Bloco Sinfônico;Centro;09/02/2018;19:00;Praça Mercado Municipal;Parado;30000
Bloco Só Te Pegando;Barra da Tijuca;11/02/2018;17:00;av. Lucio Costa posto 5;Parado;500
Bloco Só Te Pegando;Barra da Tijuca;13/02/2018;17:00;av. Lucio Costa posto 5;Parado;500
Boêmios da Lapa;Lapa;09/02/2018;19:00;Praça Cardeal Câmara (Arcos da Lapa);Parado;2000
Boêmios da Lapa;Lapa;18/02/2018;14:00;Rua Joaquim Silva;Parado;1000
Cabeça de Chave;Copacabana;13/02/2018;16:00;Rua Duvivier, nº 40;Parado;2500
Cacique de Higienópolis;Higienópolis;27/01/2018;17:00;Rua Tamiarana, esquina com Rua Darke de Mattos;Parado;500
Cadê Meu Beijo?;Ilha do Governador;27/01/2018;16:00;Rua Luis Sá – 205;Parado;2000
Caldeirão do Coqueiro;Santíssimo;09/02/2018;20:00;Praça do Coqueiro;Parado;500
Caldeirão do Coqueiro;Santíssimo;10/02/2018;20:00;Praça do Coqueiro;Parado;500
Caldeirão do Coqueiro;Santíssimo;11/02/2018;20:00;Praça do Coqueiro;Parado;500
Caldeirão do Coqueiro;Santíssimo;12/02/2018;20:00;Praça do Coqueiro;Parado;500
Caldeirão do Coqueiro;Santíssimo;13/02/2018;20:00;Praça do Coqueiro;Parado;500
Calma Amor;Irajá;27/01/2018;16:00;Praça Ferreira Souto;Parado;5000
Calma Amor;Irajá;03/02/2018;16:00;Praça Ferreira Souto;Parado;5000
Cantinho do Urubu;Madureira;10/02/2018;20:00;Estrada do Portela, em frente ao nº 350;Parado;1000
Cantinho do Urubu;Madureira;11/02/2018;20:00;Estrada do Portela, em frente ao nº 350;Parado;1000
Cantinho do Urubu;Madureira;12/02/2018;20:00;Estrada do Portela, em frente ao nº 350;Parado;1000
Cantinho do Urubu;Madureira;13/02/2018;20:00;Estrada do Portela, em frente ao nº 351;Parado;1000
Carmelitas (ENSAIO);Centro;27/01/2018;16:00;Praça Tiradentes;Parado;800
Carmelitas (ENSAIO);Centro;03/02/2018;16:00;Praça Tiradentes;Parado;800
Carrossel de Emoções;Barra da Tijuca;10/02/2018;09:00;Arena Blocos;Parado;100000
Carvalho em Pé;Botafogo;12/02/2018;12:00;Rua Visconde de Caravelas, em frente ao nº 22;Parado;700
Cata Latas do Grajaú;Grajaú;09/02/2018;20:00;Praça Nobel;Parado;450
Chinelo de Dedo;Centro;28/01/2018;17:00;Rua do Mercado 23;Parado;1000
Chroma Aqui Na Minha Mão;Centro;08/02/2018;18:00;Rua dos Arcos (Entre a Fundição e Lavradio);Parado;100
Chulé de Santa;Santa Teresa;17/02/2018;12:00;Largo do Curvelo;Parado;200
Clubinho do Samba;Méier;11/02/2018;12:00;Parado em frente ao Imperator - Dias da Cruz 170;Parado;500
Cordão do Boitatá;Centro;11/02/2018;11:00;Praça XV;Parado;50000
Cordão do Boitatá;Centro;12/02/2018;11:00;Praça XV;Parado;50000
Cordão do Prata Preta;Gamboa;27/01/2018;17:00;Praça Coronel Assumpção (Praça da Harmonia);Parado;800
Deita Mas Não Dorme;Taquara;10/02/2018;16:00;Rua Caituba;Parado;500
Deita Mas Não Dorme;Taquara;11/02/2018;16:00;Rua Caituba;Parado;500
Deita Mas Não Dorme;Taquara;12/02/2018;16:00;Rua Caituba;Parado;500
Deita Mas Não Dorme;Taquara;13/02/2018;16:00;Rua Caituba;Parado;500
Desliga da Justiça;Gávea;27/01/2018;10:00;Praça Santos Dumont;Parado;5000
Distribui Sem Juízo;Centro;07/02/2018;19:00;Rua da Quitanda entre a Rua Sete de Setembro e a Rua da Assembléia;Parado;1000
Divas do Recreio;Recreio dos Bandeirantes;21/01/2018;16:30;Quiosque 10 e Meio;Parado;3000
Diversão Brasileira;Tijuca;10/02/2018;15:00;Praça Xavier de Brito;Parado;1200
D'Jorge;Senador Camará;10/02/2018;18:00;Rua Marco Sete;Parado;600
Dragões da Riachuelo;Bairro de Fátima;13/02/2018;15:00;Rua do Senado;Parado;200
É do Pandeiro!;Laranjeiras;11/02/2018;15:00;Praça São Salvador;Parado;300
