Bloco;Bairro;Data;Desfile;Local da Concentraçao;Percurso;Público Estimado
Loucura Suburbana;Engenho de Dentro;08/02/2018;17:00;Instituto Municipal Nise da Silveira, Rua Ramiro Magalhães;Rua Ramiro Magalhães, Rua Gustavo Riedel, Rua Pernambuco, Praça Rio Grande do Norte, Rua Ana Leonídia, Rua Gustavo Riedel e Rua Ramiro Magalhães;1000
Leão da Pedra;Santo Cristo;12/02/2018;17:00;Rua Rego Barros;Rua Rego Barro e retorna pela Rua Nabuco de Freitas até a origem;300
Unidos do Rego Barros;Santo Cristo;13/01/2018;17:00;Rua Rego Barros;Rua Rego Barros até o fim da rua Nabuco de Freitas, e termina na Rua Rego Barros;400
Banda do Peru Pelado;Copacabana;13/02/2018;17:00;Avenida Atlântica, esquina com República do Peru;Rua República do Peru, Rua Barata Ribeiro, Rua Siqueira Campos e Avenida Atlântica até a esquina com República do Peru;1500
Quizomba;Lapa;17/02/2018;10:00;Rua do Riachuelo  nº7;Rua Riachuelo, Av. Mem de Sá, Rua Teixeira de Freitas, Av. Augusto Severo;5000
Encosta que Ele Cresce;Vista Alegre;03/02/2018;17:00;Rua Ribadejo;Rua Ribadejo, Estrada da Água Grande 800 até o 1525, supermercado intercontinental e retorna do outro lado;1000
GRBC Deixa Que Eu Te Atravesso;Brás de Pina;04/02/2018;17:00;Rua Rio Preto;Rua Rio Preto, Rua Brasiléia, Rua Alm. Ingran Margini, Rua Dezoito de Setembro, Rua Valdemar Magrini, até Rua Rio Preto;1000
GRBC Deixa Que Eu Te Atravesso;Brás de Pina;17/02/2018;17:00;Rua Rio Preto;Rua Rio Preto, Rua Brasiléia, Rua Alm. Ingran Margini, Rua Dezoito de Setembro, Rua Valdemar Magrini, até Rua Rio Preto;1000
Banda Bandida;Copacabana;03/02/2018;16:00;Rua Rodolfo Dantas;Rua Rodolfo Dantas, Rua Barata Ribeiro, Rua Hilário de Gouveia, Avenida Nossa Senhora de Copacabana e volta Rua Rodolfo Dantas;2000
Bloco Carnavalesco Bunda Rachada;Ramos;27/01/2018;18:00;Rua romero zander , N. 363;rua romero zander n. 363, Av. dos campeoes n.569;2000
Discípulos do Oswaldo;Manguinhos;24/01/2018;20:00;Rua Rosa da Fonseca;Rua Rosa da Fonseca Rua Castro Tavares, Rua Sizenando Nabuco e Rua Rosa da Fonseca;1000
Discípulos do Oswaldo;Manguinhos;31/01/2018;20:00;Rua Rosa da Fonseca;Rua Rosa da Fonseca Rua Castro Tavares, Rua Sizenando Nabuco e Rua Rosa da Fonseca;1000
Banda do Riviera;Barra da Tijuca;12/02/2018;17:00;Rua Rosalinda Brant, Condomínio Riviera;Rua Rosalinda Brant, Rua Celso Kelly, Rua Afrânio Costa, Rua Professor Dulcídio Cardoso e Rua Rosalinda Brant;2500
Banda Sá Ferreira;Copacabana;10/02/2018;16:00;Calçadão da Rua Sá Ferreira com Av. Atlântica;Rua Sá Ferreira, Bulhões de Carvalho, Francisco Otaviano, Av. Atlântica com Sá Ferreira;2000
Coração das Meninas;Saúde;28/01/2018;18:00;Largo da Prainha;Rua Sacadura Cabral ao Largo da Prainha até Praça da Harmonia;500
Liga de Blocos e Bandas da Zona Portuária;Saúde;27/01/2018;12:00;Praça Coronel Assunção (Praça da Harmonia);Rua Sacadura Cabral, da Praça da Harmonia até o Largo São Francisco da Prainha;1500
Escorrega Mas Não Cai;Saúde;09/02/2018;19:00;Praça Coronel Assunção (Praça da Harmonia);Rua Sacadura Cabral, Rua Aníbal Falcão, Rua Coelho e Castro, Rua Edgard Gordilho e Largo São Francisco da Prainha;1000
Batuke de Ciata;Saúde;03/02/2018;17:00;Praça Coronel Assunção (Praça da Harmonia);Rua Sacadura Cabral, Rua Argemiro Bulcao, Pedra do Sal.;500
Afoxé Filhos de Gandhi;Gamboa;11/02/2018;18:00;Praça da Harmonia;Rua Sacadura Cabral, Rua Camerino e Praça dos Estivadores;500
Pipoca no Mel;Gamboa;04/02/2018;17:00;Praça Coronel Assumpção (Praça da Harmonia);Rua Sacadura Cabral, Rua do Livramento, Rua Rivadavia Correa, Rua Pedro Ernesto e retorna para Praça da Harmonia;1000
Queima de Bangu;Bangu;11/02/2018;20:00;Rua Agrícola;Rua Santa Cecília, seguindo até a Rua Fonseca (Dispersão);500
Vamos que Vamos;Campo Grande;10/02/2018;18:00;Rua Santo Amando;Rua Santo Amando, Rua Damião de Goes, Rua São Potito, Rua Henri Dunant e retorno a origem;600
Raízes da Vila da Penha;Vila da Penha;11/02/2018;14:00;Rua São João Gualberto;Rua São João Gualberto, Rua General Silveira Sobrinho, Rua Oliveira Belo,  Rua Alice Tibiriça e Rua São João Gualberto;900
